Nome do Buteco,Endereço,Latitude,Longitude,Avaliação,Seg (Abertura),Seg (Fechamento),Ter (Abertura),Ter (Fechamento),Qua (Abertura),Qua (Fechamento),Qui (Abertura),Qui (Fechamento),Sex (Abertura),Sex (Fechamento),Sáb (Abertura),Sáb (Fechamento),Dom (Abertura),Dom (Fechamento)
Alexandre’s Bar,"Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte - MG",-19851724,-43957591,"4,4",,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,12:00,22:00,12:00:00,22:00:00
Amarelim do Prado,"Avenida Francisco Sá, 658 | Prado, Belo Horizonte - MG",-19932821,-43963287,"4,3",11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,11:00:00,22:00:00
Andrade’s Beer,"Rua Dona Geni, 32 | Belo Horizonte - MG",-19923412,-43945893,"4,7",16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,14:00,23:00,14:00:00,23:00:00
Arcos Bar,"Rua da Bahia, 1144 | Centro, Belo Horizonte - MG",-19927179,-43932235,"4,2",,,15:00:00,02:00:00,15:00:00,02:00:00,15:00:00,02:00:00,15:00:00,02:00:00,15:00,02:00,11:00:00,00:00:00
Armazém Santa Amélia,"Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG",-19833595,-44004146,"4,5",17:00:00,01:00:00,17:00:00,01:00:00,17:00:00,01:00:00,17:00:00,01:00:00,17:00:00,01:00:00,13:00,01:00,13:00:00,22:00:00
Avalanche Espeteria,"Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte - MG",-19827607,-43967814,"3,9",17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00:00,00:00:00,17:00,00:00,15:00:00,00:00:00
Azougue Fogo e Bar,"Rua do Ouro, 835 | Serra, Belo Horizonte - MG",-19940523,-43931753,"4,5",18:00:00,,11:45 / 18:00,15:00 / 00:00,11:45 / 18:00,15:00 / 00:00,11:45 / 18:00,15:00 / 00:00,11:45 / 18:00,15:00 / 00:00,12:00,00:00,12:00:00,17:00:00
Baiuca,"Rua Piauí, 1884 | Funcionários, Belo Horizonte - MG",-19937000,-43931980,"4,2",11:00:00,16:00:00,11:00:00,16:00:00,11:00:00,16:00:00,11:00:00,16:00:00,11:00:00,22:00:00,11:00,22:00,11:00:00,17:00:00
Bar Bambú,"Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte - MG",-19916891,-44020358,"4,5",,,18:00:00,23:30:00,18:00:00,23:30:00,18:00:00,23:30:00,18:00:00,23:30:00,18:00,23:30,18:00:00,23:30:00
Bar Bendita Baderna,"Rua Silva Fortes, 47 | União, Belo Horizonte - MG",-19897486,-43914271,"4,9",18:00:00,00:00:00,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,12:00,00:00,12:00:00,18:00:00
Bar da Cíntia,"Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte - MG",-19816480,-43963955,"4,7",,,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,15:00,23:00,15:00:00,22:00:00
Bar da Fia,"Rua dos Astecas, 2722 | Santa Mônica, Belo Horizonte - MG",-19829615,-43979291,"4,8",,,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,11:00:00,23:00:00
Bar da Lu,"Rua Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte - MG",-19816361,-43961317,"4,4",18:00:00,23:00:00,,,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,12:00,22:00,12:00:00,18:00:00
Bar da Silvânia,"Rua Soares Nogueira, 801 | Camargos, Belo Horizonte - MG",-19943209,-44028635,"4,6",,,17:00:00,00:30:00,17:00:00,00:30:00,17:00:00,00:30:00,17:00:00,00:30:00,17:00,00:30,,
Bar do Bartolomeu,"Rua Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte - MG",-20013446,-44013083,"4,6",,,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,11:00,20:00,11:00:00,20:00:00
Bar do Bem,"RUA VICENTINA COUTINHO CAMARGOS, 100, BELO HORIZONTE - MG",-19935028,-44011867,"4,9",,,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,12:00,23:00,12:00:00,17:00:00
Bar do Kim,"Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte – MG",-19953531,-44008405,"4,7",18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,12:00,23:00,12:00:00,23:00:00
Bar do Nelson,"Av Vicente Risola, 1000 | Belo Horizonte - MG",-19873255,-43905622,"4,5",,,15:00:00,00:00:00,15:00:00,00:00:00,15:00:00,00:00:00,15:00:00,00:00:00,11:00,00:00,11:00:00,20:00:00
Bar do Primo,"Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte - MG",-19940562,-44006950,"4,6",18:00:00,02:00:00,18:00:00,02:00:00,18:00:00,02:00:00,18:00:00,02:00:00,18:00:00,02:00:00,18:00,02:00,18:00:00,02:00:00
Bar do Regis,"Rua Gávea, 422 | Jardim América, Belo Horizonte - MG",-19952549,-44005470,"4,6",11:00:00,15:00:00,11:00:00,15:00:00,11:00:00,23:30:00,11:00:00,23:30:00,11:00:00,23:30:00,11:00,23:30,11:00:00,15:30:00
Bar do Romeu,"Rua Aniri, 8 | Guarani, Belo Horizonte - MG",-19837947,-43957512,"4,5",17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,12:00,00:00,12:00:00,00:00:00
Bar dos Meninos,"Rua Lindolfo Deodoro, 503 | Salgado Filho, Belo Horizonte - MG",-19915729,-44021673,"4,7",,,17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,17:30,00:00,,
Bar Du Du,"Rua Violeta, 369 | Esplanada, Belo Horizonte - MG",-19917416,-43921612,"4,8",11:00:00,17:30:00,14:00:00,23:00:00,14:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00,22:00,,
Bar e Restaurante Bom Sabor,"Rua Java, 386 | Nova Suíça, Belo Horizonte - MG",-19935105,-44004464,"4,8",11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,,
Bar e Restaurante do Joãozinho,"Rua Pinheiro Chagas, 295 | Barreiro, Belo Horizonte - MG",-19985925,-44000302,"3,9",18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00:00,23:00:00,18:00,23:00,12:00:00,18:00:00
Bar Estabelecimento,"Rua Monte Alegre, 160 | Serra, Belo Horizonte - MG",-19943141,-43931707,"4,4",,,17:30:00,00:00:00,17:30:00,00:00:00,17:30:00,00:00:00,11:00:00,00:00:00,11:30,00:00,12:00:00,18:00:00
Bar Junto Juntinho,"Rua Cura D’Ars, 542 | Prado, Belo Horizonte - MG",-19930416,-43967676,"4,7",,,,,18:00:00,00:00:00,18:00:00,00:00:00,18:00:00,00:00:00,18:00,00:00,,
Bar Mania Mineira,"Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte - MG",-19928812,-43954605,"4,5",11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00:00,00:00:00,11:00,00:00,,
Bar Pompéu,"Rua São Miguel, 779 | Itapoã, Belo Horizonte - MG",-19845014,-43948238,"4,5",12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,01:00:00,12:00,01:00,12:00:00,00:00:00
Bar Stella,"Avenida Saramenha, 1599 | Guarani, Belo Horizonte - MG",-19839845,-43958744,"3,9",12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,00:00:00,12:00:00,00:00:00,12:00,00:00,12:00:00,00:00:00
Bar Temático Sta. Teresa,"Rua Pirite, 187 | Belo Horizonte - MG",-19919783,-43945775,,,,,,17:00:00,23:30:00,17:00:00,23:30:00,17:00:00,23:30:00,11:00,23:30,11:00:00,18:00:00
Barrigudinha Buteco,"Avenida dos Engenheiros, 1071 | Alípio de Melo, Belo Horizonte - MG",-19907955,-44020478,,,,16:30:00,23:30:00,16:30:00,23:30:00,16:30:00,23:30:00,16:30:00,23:30:00,11:30,23:30,11:30:00,21:00:00
Barzim dos amigos,"Rua Lindolfo de Azevedo, 1263 | Jardim América, Belo Horizonte - MG",-19949362,-44003926,,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,16:00:00,00:00:00,14:00,00:00,12:00:00,23:00:00
Bazin Bar,"Rua Orozimbo Nonato, 1053 | Dona Clara, Belo Horizonte - MG",-19870371,-43960255,,,,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:00:00,17:00:00,23:45:00,12:00,23:50,12:00:00,20:00:00
